,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10
42,0.25105685381309434,0.2970145652242512,0.20994208259963362,0.27590952042459327,0.2612563223132063,0.21359805722245898,0.33013897414543586,0.22512400909122518,0.23843580959945962,0.26588961103631026,0.20732147298049133
43,0.25146726567518485,0.2976290378313183,0.21074872639902023,0.2767010520621141,0.26141723408877177,0.21414131618122625,0.3302280984169144,0.2252037328773247,0.2386896768888433,0.26687638599474395,0.20781152309636605
44,0.2518815645539928,0.29818651907550486,0.21143899732216442,0.2773734433438864,0.2615695638470064,0.21473100569434184,0.3303138592237751,0.2253054202560333,0.23893513996688207,0.2678870711991575,0.20823177220394512
45,0.2522926132125261,0.29870754548384576,0.21192122012634002,0.2779374037247278,0.2616931119097045,0.21531183845740218,0.3303847842465104,0.2253870427715157,0.23914965591377274,0.26889340131263584,0.20862451315926278
46,0.2526999247544297,0.2991803050151671,0.21232190558375041,0.2785106668090567,0.2618117140065548,0.21594295298417565,0.33045945104649477,0.2254632827079359,0.23934450403663723,0.2699585419020595,0.20898303995233
47,0.2530890814911781,0.2995802185092602,0.21266647055442542,0.2791282277007097,0.26191091150668266,0.21659691015098023,0.3305046308822974,0.2255120344644311,0.2395101213540108,0.2710535617528027,0.20935320368517998
48,0.2534930119021653,0.2999949337036614,0.21304376140380504,0.2798558420136436,0.2620115932599838,0.21700029485262165,0.3305444582280032,0.2255591802375063,0.23968724077580916,0.2722377463790681,0.20972272006616505
49,0.2538590532773961,0.3003844632633409,0.213375400900665,0.2804583792130289,0.26209943084890647,0.2172412967915592,0.3305577384024606,0.22557437041432557,0.2398383296729471,0.27337980523674754,0.2100927432246211
50,0.25423512906596,0.3007431145826752,0.21370204934876763,0.280935984043415,0.26219287676710695,0.2174513547295518,0.3305654707417222,0.22560171813786425,0.24001405778842858,0.2746036572618235,0.21043463764769604
51,0.2545671778058177,0.3010634571023883,0.21396388153131926,0.28132682162118344,0.26226596446742434,0.2176103525650943,0.330556062448966,0.22560684389758542,0.24017300972577074,0.2756709732062394,0.21075995030949088
52,0.2549032188042542,0.3013304594388925,0.21423426951392965,0.28159330516149,0.2623458264069317,0.21780574710854886,0.3305488563847669,0.22562172543897094,0.24041047834356682,0.27680762459154,0.21106059347116668
53,0.25520224141699777,0.30156672096532633,0.21444118693366152,0.28179499509946915,0.2624006518030484,0.217940790768928,0.3305400455783102,0.22561284804277879,0.2406391445495544,0.2778448061878813,0.21135059744494905
54,0.25550134587791334,0.301750672697454,0.2145742982319163,0.2819756616657928,0.2624318301339286,0.2180134206501927,0.33053229849996174,0.22561058410989718,0.2408304410493991,0.2785698277519993,0.2115889665789778
55,0.2557667955044749,0.30192493927066466,0.21467414496082196,0.2821544798384652,0.262472058601013,0.21805345814591348,0.33051506921286367,0.22561363047701788,0.2409491971612361,0.27893977261342173,0.21178866947578368
