,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11
42,0.3370655333379781,0.34315758428331067,0.41068942925736335,0.2679703477610492,0.3733921190790216,0.2182696479272824,0.3645297235370489,0.5560994785845152,0.4064888872683293,0.2136764478759816,0.26968321143120316,0.2072687118470349
43,0.3379685213522163,0.3435465257948672,0.41206925816805384,0.27071856947332545,0.3745726452206124,0.2212327718294222,0.3661387352500758,0.5576996343211412,0.4075986460486853,0.21673439326138688,0.27131072591984084,0.2096959078934648
44,0.33881973094660894,0.3439175480536234,0.41331339229100167,0.27339336051517116,0.3757156829029304,0.22415078509392156,0.36766573847337686,0.5592191095047885,0.40861567938828175,0.2197315046007651,0.2728611095351931,0.21206514330040785
45,0.33962501390751176,0.34427826672729905,0.41446095619149276,0.2760038410831489,0.37666548487467666,0.22702994528703482,0.36912165164229,0.5606526950427866,0.40963476992291176,0.22267255669649086,0.2743826023746842,0.21437535222706103
46,0.3403864781490292,0.34459991759293357,0.4154704253423168,0.27856530481229286,0.3775343613378084,0.22986152565769463,0.3705064819496977,0.5620034958513136,0.4105660220415354,0.22554415584175855,0.27584960064169467,0.21663382929934571
47,0.34108574576694045,0.34489191671710206,0.41639178603527754,0.2810550726238726,0.3783125209892283,0.23264775298830712,0.3718163973361245,0.5632824725604751,0.4114481322360716,0.2283625716930967,0.2772869717266982,0.21884358268448728
48,0.34173617242173104,0.3451772425145095,0.4172238915906695,0.28348551857317383,0.37900946117919443,0.23539867477684268,0.37304618581106785,0.5644974314931951,0.41231885785087513,0.23112958492265107,0.2787011390176049,0.220999974383036
49,0.3423540383398557,0.34544673339746196,0.41799025628208647,0.28586501647545914,0.3796101665506541,0.2381210221352962,0.374201273400121,0.5656576660717816,0.4131058975191922,0.23385636647973929,0.28008146935501055,0.22311172458722917
50,0.3429577773475853,0.34569216270487707,0.4186809827665116,0.2881874550032486,0.380144912814596,0.2408120092941701,0.3752891553223006,0.5667597084123661,0.4138318075990636,0.2365301412333245,0.2814374767480034,0.2251723450305471
51,0.34352030879004997,0.3459107507433682,0.4193183547781629,0.2904555725983798,0.3806131129144525,0.24345143543998304,0.37631812097834616,0.5678061225884643,0.4145113861555433,0.2391638067321975,0.2827620379916464,0.2271862303348015
52,0.34402272273471596,0.34610236115229304,0.419891505505555,0.2926765923182847,0.3810019016822087,0.2460277439178491,0.3772930148632643,0.5688038638367857,0.41515257249562343,0.24174827839401766,0.2840789339016068,0.22915221723105084
53,0.3444955450003253,0.34629495122786336,0.42040350113336444,0.2948495323487977,0.38136174675785717,0.24855115420528445,0.37822392206832484,0.569769914937173,0.41577784238423027,0.24428268239940287,0.28537415784101894,0.2310626092695807
54,0.3449530907211895,0.34649605179827364,0.4208542923236863,0.2969574600217883,0.3816843058826031,0.25102313076906324,0.3791065129632618,0.5707048539036794,0.4164028704388449,0.2467854943774422,0.2866433713218709,0.23291857707690006
55,0.34537891750660527,0.34670287644294207,0.4212563907406178,0.2990096692388003,0.3819742161360775,0.25344644301628383,0.3799412073272944,0.5716033443647034,0.4170744118092772,0.2492428947523476,0.2878884645771936,0.23473154856381298
56,0.34576140360328955,0.3469214166665887,0.42160303398851046,0.3010074543316467,0.3822411679171097,0.2558182037146786,0.38072486869875044,0.5724993877342598,0.4178305411056641,0.2516560570891559,0.2891108026926434,0.23650249938011764
57,0.34611163166328957,0.3471458239508235,0.4219123871555457,0.3029524573345382,0.3824887725603986,0.258153621015719,0.38145599400167407,0.5733755726459623,0.4185806037601703,0.25403512560484004,0.2903091526595368,0.2382263067022736
58,0.34643185769237006,0.3473733313067264,0.42217726280526174,0.3048578393563471,0.38272093880697766,0.2604522818178505,0.3821343743750081,0.5742323319874714,0.41928342347243314,0.256372168359406,0.2914833265958664,0.23991100492683387
